TEAM,CONF,YEAR,POSTSEASON,SEED,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Texas Tech,B12,2015,NA,NA,32,13,0.40625,101.4,98.4,0.5857,45.7,49.2,21.8,20.1,34.6,32.6,46.1,36.5,44.5,48.2,32.3,33.9,62.4,-6.2,0.325,0.465,0.703,0.62,0.14,0.518,0.092,0.677,0.828,0.702,0.954,0.52,0.148,0.478,0.28,0.566,0.145,0.591
Creighton,BE,2015,NA,NA,33,14,0.424242424,109.6,99.8,0.745,49.4,50.5,18.4,17.1,31.3,28.1,36.3,33.4,47.6,46.9,34.6,38,63.1,-5.8,0.385,0.842,0.652,0.777,0.562,0.346,0.658,0.177,0.537,0.131,0.465,0.723,0.5,0.629,0.551,0.08,0.222,0.617
DePaul,BE,2015,NA,NA,32,12,0.375,107.5,103.8,0.5972,50.7,50.8,19.8,18.8,27.4,35.5,36.5,48.7,49.2,52.7,35.2,31.2,67.7,-7.4,0.251,0.78,0.446,0.631,0.731,0.318,0.375,0.457,0.168,0.945,0.482,0.049,0.702,0.075,0.64,0.912,0.868,0.531
Marquette,BE,2015,NA,NA,32,13,0.40625,104,95.6,0.7237,49.8,49.2,19.3,21,29,36.4,35.8,30.3,48.8,46.4,34.4,36,64.3,-4.7,0.325,0.597,0.829,0.765,0.631,0.518,0.472,0.822,0.288,0.96,0.417,0.898,0.651,0.672,0.522,0.275,0.425,0.677
Seton Hall,BE,2015,NA,NA,31,16,0.516129032,107.7,98.6,0.7353,48.2,47.7,18.7,18,34.7,33.2,38.1,38,46,49,35,30,66.2,-2.3,0.537,0.794,0.692,0.771,0.405,0.689,0.603,0.311,0.842,0.774,0.611,0.42,0.282,0.398,0.611,0.972,0.685,0.797
Idaho,BSky,2015,NA,NA,28,11,0.392857143,104.7,110.8,0.3432,53.4,53.6,17.5,15.4,30.7,27,38.6,41.5,49.2,53,41,36.3,67.9,-13,0.291,0.662,0.086,0.34,0.905,0.06,0.798,0.022,0.488,0.08,0.637,0.255,0.702,0.06,0.997,0.226,0.882,0.234
Idaho St.,BSky,2015,NA,NA,28,5,0.178571429,96.2,109.9,0.1767,48.1,52,18.7,18.7,29.9,32.2,37,34.8,46.6,49.3,34.9,37,63.9,-19.2,0.034,0.188,0.106,0.111,0.391,0.178,0.603,0.431,0.397,0.651,0.52,0.618,0.354,0.343,0.588,0.169,0.328,0.037
Montana,BSky,2015,NA,NA,31,18,0.580645161,104.5,104.2,0.5063,53.7,51.3,18,19.9,27.6,28.7,33.3,43.6,52.9,49.4,36.6,36.1,62.5,-7.1,0.671,0.642,0.418,0.542,0.922,0.249,0.726,0.654,0.18,0.202,0.234,0.146,0.928,0.335,0.782,0.263,0.157,0.545
Montana St.,BSky,2015,NA,NA,29,6,0.206896552,94.7,107.8,0.1838,46.9,53,20.6,17,29.1,28.2,28.7,44.8,42.4,50.4,35.6,39.4,66.2,-17.9,0.04,0.134,0.198,0.12,0.245,0.118,0.206,0.168,0.302,0.14,0.031,0.106,0.045,0.243,0.688,0.012,0.685,0.054
North Dakota,BSky,2015,NA,NA,28,6,0.214285714,96.1,109,0.1904,48.4,53.2,17.9,18.1,24.7,29,38.5,42.3,47.8,51.2,33.1,38.6,68,-16.2,0.045,0.177,0.149,0.128,0.425,0.098,0.74,0.331,0.062,0.217,0.631,0.206,0.528,0.172,0.362,0.049,0.894,0.108
