TEAM,CONF,YEAR,POSTSEASON,SEED,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Texas Southern,SWAC,2015,R64,15,35,22,0.628571429,101.9,108.1,0.3371,49.5,49.3,19.7,18.7,33.8,34.6,46.8,33.1,50,48.5,32.2,34.4,63.7,-4.5,0.222,0.047,0.016,0.015,0.285,0.175,0.191,0.444,0.492,0.936,0.952,0.54,0.539,0.127,0.079,0.302,0.301,0.126
New Mexico St.,WAC,2015,R64,15,32,21,0.65625,103.9,98.1,0.6613,50.6,46.4,21.8,20.6,39.3,31,44.3,32.5,49.3,46.4,36.2,30.8,64,-4.5,0.285,0.142,0.286,0.206,0.492,0.572,0,0.761,0.936,0.634,0.92,0.588,0.492,0.334,0.555,0.874,0.396,0.126
North Carolina,ACC,2015,S16,4,38,26,0.684210526,119.6,92.5,0.9507,51.6,45.4,18.2,17.7,40,31.2,35.2,37.8,50.9,45.6,35.8,30,69.9,6.5,0.428,0.904,0.762,0.888,0.619,0.747,0.429,0.285,0.968,0.682,0.174,0.191,0.634,0.413,0.492,0.969,0.968,0.825
North Carolina St.,ACC,2015,S16,8,36,22,0.611111111,114.1,96.8,0.8684,49.3,45.5,16,14.9,33.9,30.2,35.3,34.7,47.3,43.6,35.6,33,64.7,1.1,0.126,0.714,0.366,0.555,0.222,0.715,0.858,0.015,0.523,0.444,0.206,0.35,0.19,0.699,0.444,0.54,0.492,0.444
Oklahoma,B12,2015,S16,3,35,24,0.685714286,111.6,88.5,0.9349,49.3,44.1,17.6,19.7,31.5,31.4,32.8,28.4,48.2,42.2,34.3,31.7,67.5,4.5,0.444,0.555,0.921,0.841,0.222,0.905,0.524,0.587,0.333,0.714,0.111,0.794,0.349,0.921,0.269,0.731,0.857,0.761
West Virginia,B12,2015,S16,5,35,25,0.714285714,110.3,93.3,0.8733,46.1,52.7,18.7,28,40.1,31.1,40.4,55.5,45.5,51.8,31.6,36.5,68.6,4.1,0.555,0.444,0.635,0.603,0.015,0.016,0.334,1,0.984,0.666,0.682,0,0,0,0.047,0.048,0.904,0.73
Xavier,BE,2015,S16,6,37,23,0.621621622,115.7,95.1,0.9049,53.3,50,18.1,18.8,31.3,27.3,38.5,33.3,53.7,48.9,35.1,34.6,65.5,1.3,0.19,0.793,0.445,0.666,0.73,0.08,0.461,0.476,0.301,0.158,0.523,0.524,0.873,0.112,0.38,0.239,0.603,0.476
Wichita St.,MVC,2015,S16,7,34,29,0.852941176,114.3,91.5,0.9277,50.3,45.8,15,21.3,34.5,27.4,36.2,36.6,48.9,42.6,35.4,35.3,62.6,4.2,0.873,0.73,0.81,0.761,0.444,0.62,0.953,0.841,0.619,0.174,0.317,0.239,0.428,0.826,0.428,0.143,0.19,0.746
UCLA,P12,2015,S16,11,36,22,0.611111111,111.8,96.6,0.8425,49.6,48.5,17.6,17.9,33.8,28.6,35.7,32.3,47.4,45.4,36.8,35.6,66.8,0,0.126,0.587,0.381,0.396,0.317,0.223,0.524,0.317,0.492,0.317,0.238,0.604,0.222,0.429,0.619,0.127,0.746,0.317
Utah,P12,2015,S16,5,34,25,0.735294118,114.9,88.7,0.9513,55.2,43,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,61.4,3.7,0.65,0.761,0.889,0.904,0.857,0.953,0.429,0.365,0.301,0.253,0.841,0.413,0.714,0.953,0.968,0.81,0.126,0.666
North Carolina,ACC,2016,2ND,1,40,33,0.825,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,0.936,1,0.715,0.952,0.65,0.477,0.826,0.412,0.984,0.682,0.142,0.635,0.857,0.762,0.111,0.112,0.888,0.952
Villanova,BE,2016,Champions,2,40,35,0.875,123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30,57.4,44.1,36.2,33.9,66.7,8.9,1,0.968,0.953,1,0.952,0.747,0.683,0.825,0.095,0.555,0.253,0.667,1,0.842,0.507,0.429,0.19,0.984
Notre Dame,ACC,2016,E8,6,36,24,0.666666667,118.3,103.3,0.8269,54,49.5,15.3,14.8,32.7,32.1,32.9,26,52.9,46.5,37.4,36.9,65.5,2.3,0.317,0.809,0.064,0.444,0.777,0.239,0.842,0.047,0.619,0.936,0.174,0.905,0.809,0.493,0.698,0.048,0.079,0.603
Virginia,ACC,2016,E8,1,37,29,0.783783784,119.9,91,0.96,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,61.9,8.6,0.825,0.873,0.937,0.968,0.857,0.413,0.889,0.555,0.253,0.111,0.095,0.477,0.73,0.524,0.936,0.302,0,0.952
Kansas,B12,2016,E8,1,37,32,0.864864865,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,0.984,0.888,0.985,0.984,0.936,0.874,0.334,0.46,0.539,0.428,0.619,0.254,0.777,0.874,0.952,0.715,0.73,1
Oregon,P12,2016,E8,1,37,30,0.810810811,118.4,96.2,0.9163,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32,52.6,46.1,34.4,36.2,69,6.7,0.873,0.825,0.54,0.777,0.634,0.318,0.731,0.761,0.714,0.761,0.698,0.588,0.73,0.556,0.238,0.112,0.587,0.857
Syracuse,ACC,2016,F4,10,37,23,0.621621622,111.9,93.6,0.8857,50,47.3,18.1,20.4,33.5,35.3,35.4,28,47.2,48.1,36,30.7,65.5,-0.3,0.142,0.492,0.794,0.634,0.269,0.667,0.286,0.809,0.682,1,0.349,0.826,0.079,0.366,0.46,0.953,0.079,0.269
Oklahoma,B12,2016,F4,2,37,29,0.783783784,118.2,94.1,0.9326,54.3,47.2,18.3,17.7,31.2,30.5,33,28.3,48.2,45.3,42.2,33.7,70.8,8,0.825,0.777,0.778,0.888,0.809,0.683,0.207,0.317,0.365,0.761,0.19,0.747,0.174,0.699,0.984,0.508,0.793,0.936
Saint Joseph's,A10,2016,R32,8,36,28,0.777777778,114.2,97.6,0.86,51.2,48.1,14.3,16.1,28.3,25.8,37.4,25,52.3,49.2,32.7,31.1,70.9,3.4,0.809,0.634,0.397,0.492,0.333,0.477,0.985,0.158,0.111,0.19,0.492,0.953,0.698,0.159,0.111,0.905,0.809,0.666
VCU,A10,2016,R32,10,36,25,0.694444444,112.1,94.2,0.8811,51,49.2,16.3,21.4,33.2,27.7,32.2,36.8,50.1,48.6,35.2,33.7,70.3,-0.1,0.428,0.507,0.762,0.587,0.301,0.302,0.683,0.92,0.65,0.38,0.111,0.27,0.428,0.302,0.412,0.508,0.746,0.285
Connecticut,Amer,2016,R32,9,36,25,0.694444444,110.5,93.4,0.8732,51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,49.9,42,36.5,32.6,66.9,1.2,0.428,0.444,0.858,0.555,0.444,0.953,0.683,0.412,0.126,0.492,0.047,0.366,0.396,0.953,0.587,0.683,0.238,0.476
