TEAM,CONF,REGION,SEED,SEED_OPP,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
North Texas,CUSA,South,13,4,29,20,0.689655172,111.6,100.3,0.7717,55.3,49.8,20.6,20.7,29.3,27.7,29.4,38.8,54.6,47.8,37.5,35.5,63,-3.5,0.388,0.641,0.195,0.313,0.955,0.09,0.075,0.805,0.388,0.671,0.223,0.06,0.88,0.329,0.88,0.03,0.029,0.149
New Mexico St.,WAC,East,13,4,29,25,0.862068966,107.7,99,0.7242,52.7,49.6,20.6,20.9,34.5,21.7,31.9,32,53.4,49.7,34.6,32.9,63.5,-1.4,0.88,0.343,0.254,0.238,0.716,0.135,0.075,0.82,0.85,0.044,0.402,0.359,0.82,0.15,0.462,0.254,0.044,0.238
Vermont,AE,West,13,4,32,26,0.8125,105.4,97.1,0.7207,51.7,44.8,17.2,19,27.6,22.7,31.3,31.5,53.4,42.4,33,32.2,66.2,-1.8,0.791,0.164,0.374,0.223,0.477,0.911,0.702,0.537,0.253,0.074,0.373,0.403,0.82,0.986,0.298,0.493,0.238,0.223
Akron,MAC,Midwest,13,3,29,24,0.827586207,107.9,98.8,0.7343,51.7,45.9,17.9,18.4,27.4,29.2,35.5,29.1,49.6,45.2,36.2,31.5,69.4,-1,0.85,0.373,0.284,0.253,0.477,0.717,0.553,0.402,0.238,0.82,0.656,0.598,0.238,0.672,0.761,0.642,0.746,0.253
Belmont,OVC,Midwest,14,3,32,26,0.8125,106.9,99.5,0.6938,54.8,47.8,16,19.5,24.7,26.7,22.9,24.3,56.8,46.7,34.8,33.2,70.5,-2.2,0.791,0.268,0.224,0.208,0.925,0.374,0.851,0.626,0.104,0.537,0,0.866,0.97,0.463,0.507,0.165,0.865,0.194
Hofstra,CAA,West,14,3,33,26,0.787878788,108.9,102.5,0.6663,51.7,50.3,16.5,19.8,29.8,29.5,34.3,20.2,49,52.8,37.4,30.7,68,-2.7,0.686,0.447,0.105,0.179,0.477,0.06,0.792,0.686,0.447,0.865,0.567,0.986,0.179,0,0.85,0.777,0.537,0.179
Bradley,MVC,South,14,3,33,23,0.696969697,106.6,100.5,0.6631,49.5,46.4,17.2,17.9,31.5,25.9,32.3,31.2,46.6,45.6,37.1,31.7,66.9,-4.1,0.402,0.253,0.18,0.164,0.208,0.657,0.702,0.313,0.597,0.373,0.462,0.418,0.014,0.612,0.805,0.612,0.358,0.119
UC Irvine,BW,East,14,3,30,21,0.7,104.9,99.4,0.6485,51.6,44.9,20.2,16.4,34.1,25.3,28,36,50.8,40.8,35.6,35.6,67.8,-5.5,0.417,0.149,0.239,0.149,0.432,0.896,0.135,0.059,0.835,0.238,0.134,0.105,0.402,1,0.701,0.015,0.507,0.074
North Dakota St.,Sum,West,15,2,31,25,0.806451613,106,101.6,0.6184,51.9,49.2,14.7,14.6,22.4,19,33.3,26.6,51.2,49.3,35.2,32.7,65.9,-3.1,0.731,0.208,0.15,0.134,0.567,0.18,1,0,0.014,0,0.507,0.762,0.447,0.165,0.626,0.299,0.194,0.164
Little Rock,SB,South,15,2,30,21,0.7,105.6,102.9,0.5745,52.8,49,22.1,19.6,30.1,28.7,45.3,34.4,52.9,47.3,35.1,34.5,69.1,-3.7,0.417,0.179,0.075,0.119,0.746,0.239,0.03,0.656,0.477,0.805,1,0.209,0.671,0.403,0.567,0.06,0.656,0.134
Winthrop,BSth,Midwest,15,2,32,24,0.75,103.6,103.1,0.5136,53,50.7,19.1,20,34.8,24.1,36.3,41.9,54.1,52,34.4,32.3,71.8,-4.9,0.537,0.104,0.06,0.074,0.776,0.03,0.269,0.731,0.88,0.149,0.746,0.03,0.85,0.015,0.432,0.448,0.94,0.089
Northern Kentucky,Horz,East,15,2,30,23,0.766666667,100.8,101.1,0.4914,49.5,46.5,18,20.2,29.7,31.9,33.4,31,52.4,47.7,30.6,29.6,65.6,-4.2,0.567,0.059,0.165,0.059,0.208,0.583,0.478,0.761,0.432,0.985,0.522,0.433,0.611,0.344,0.059,0.926,0.164,0.104
Siena,MAAC,East,16,1,30,20,0.666666667,107.1,104.7,0.5636,51.8,48.4,19.2,17.2,31.9,26,36.3,26.9,51,48.7,35.5,31.8,66.8,-5.8,0.268,0.283,0,0.104,0.522,0.284,0.239,0.164,0.641,0.417,0.746,0.717,0.432,0.224,0.686,0.568,0.343,0.059
Eastern Washington,BSky,West,16,1,29,23,0.793103448,104,102,0.554,52,49.1,17.7,18.5,27.3,27,29.6,33.7,52.2,48,34.4,34.3,73.1,-2,0.701,0.134,0.12,0.089,0.597,0.209,0.627,0.432,0.223,0.567,0.253,0.284,0.552,0.269,0.432,0.09,1,0.208
Boston University,Pat,Midwest,16,1,33,21,0.636363636,102.6,103.1,0.4856,51.3,49.7,16.9,17.2,29.4,25.1,27.3,26.1,53,49.9,32.2,32.8,66.3,-7.7,0.179,0.074,0.06,0.044,0.388,0.105,0.747,0.164,0.402,0.223,0.104,0.821,0.731,0.135,0.194,0.269,0.313,0.029
Robert Morris,NEC,South,16,1,33,20,0.606060606,100.2,103.5,0.4084,51.4,50.4,18.7,21.4,28.2,29.3,26,31.7,49.6,51.5,36.1,32.3,66.1,-9.2,0.044,0.044,0.03,0.029,0.402,0.045,0.329,0.85,0.298,0.85,0.029,0.389,0.238,0.03,0.746,0.448,0.223,0
Prairie View A&M,SWAC,Midwest,16,1,30,19,0.633333333,95.2,101.6,0.3203,47.4,47.8,20.2,23.7,27.9,28.1,40.5,49.2,48.1,50.6,30.3,28.7,70.6,-7.5,0.149,0.014,0.15,0.014,0.044,0.374,0.135,0.97,0.268,0.716,0.925,0,0.104,0.09,0.014,0.986,0.88,0.044
NC Central,MEAC,South,16,1,28,18,0.642857143,94,104.4,0.2304,50.5,48.5,22.6,22.8,28.5,32.9,35.8,33.7,52.9,50.1,30.9,30.7,66.2,-8.4,0.194,0,0.015,0,0.313,0.254,0.015,0.94,0.328,1,0.686,0.284,0.671,0.12,0.104,0.777,0.238,0.014
